src,dst,timestamp
0,36,0
0,1232,0
0,2080,0
0,2035,0
0,2031,0
0,3674,0
0,3675,0
0,132,0
0,1271,0
0,536,0
1,1056,0
1,409,0
1,1659,0
1,766,0
1,2908,0
1,254,0
1,1208,0
1,2196,0
1,761,0
1,565,0
2,1294,0
2,2881,0
2,43,0
2,605,0
2,219,0
2,370,0
2,1513,0
2,157,0
2,2486,0
2,3783,0
3,1262,0
3,2687,0
3,3372,0
3,136,0
3,46,0
3,546,0
3,3089,0
3,1655,0
3,813,0
3,601,0
4,2334,0
4,949,0
4,742,0
4,487,0
4,3420,0
4,1924,0
4,2748,0
4,2116,0
4,2102,0
4,1273,0
5,2688,0
5,2496,0
5,2081,0
5,1048,0
5,1989,0
5,2888,0
5,1106,0
5,1620,0
5,850,0
5,956,0
6,672,0
6,2431,0
6,89,0
6,207,0
6,2871,0
6,3250,0
6,2062,0
6,3012,0
6,49,0
6,1197,0
7,2783,0
7,1051,0
7,63,0
7,3215,0
7,16,0
7,1984,0
7,3190,0
7,2432,0
7,663,0
7,1389,0
8,2379,0
8,3298,0
8,616,0
8,3410,0
8,3484,0
8,2551,0
8,515,0
8,2750,0
8,3408,0
8,503,0
9,2856,0
9,3737,0
9,2019,0
9,677,0
9,3162,0
9,2182,0
9,3623,0
9,3236,0
9,1886,0
9,305,0
10,868,0
10,2923,0
10,3199,0
10,3734,0
10,2327,0
10,2612,0
10,1603,0
10,2047,0
10,2296,0
10,3014,0
11,3432,0
11,1376,0
11,967,0
11,646,0
11,3689,0
11,2491,0
11,2296,0
11,1464,0
11,3518,0
11,201,0
12,3705,0
12,1185,0
12,3162,0
12,2856,0
12,3541,0
12,2698,0
12,3619,0
12,1522,0
12,830,0
12,1382,0
13,488,0
13,654,0
13,1633,0
13,1422,0
13,3345,0
13,2219,0
13,1098,0
13,979,0
13,1598,0
13,275,0
14,3778,0
14,3381,0
14,440,0
14,3292,0
14,1524,0
14,1542,0
14,3548,0
14,3371,0
14,2913,0
14,3242,0
15,2539,0
15,2580,0
15,1779,0
15,1626,0
15,3343,0
15,2509,0
15,1193,0
15,1034,0
15,247,0
15,667,0
16,3383,0
16,2334,0
16,161,0
16,2032,0
16,2783,0
16,1254,0
16,663,0
16,1137,0
16,7,0
16,2102,0
17,306,0
17,2772,0
17,3543,0
17,1095,0
17,3050,0
17,156,0
17,1215,0
17,1505,0
17,2587,0
17,2466,0
18,719,0
18,1623,0
18,3665,0
18,3335,0
18,3503,0
18,3675,0
18,3253,0
18,692,0
18,1123,0
18,1974,0
19,938,0
19,3500,0
19,1347,0
19,854,0
19,3322,0
19,355,0
19,491,0
19,1791,0
19,2624,0
19,567,0
20,968,0
20,672,0
20,1760,0
20,793,0
20,612,0
20,3012,0
20,3796,0
20,1783,0
20,2040,0
20,2493,0
21,2712,0
21,3447,0
21,513,0
21,2085,0
21,1545,0
21,2341,0
21,1227,0
21,3109,0
21,977,0
21,3193,0
22,247,0
22,2939,0
22,2829,0
22,3236,0
22,1286,0
22,2509,0
22,15,0
22,100,0
22,2539,0
22,2344,0
23,1927,0
23,2004,0
23,426,0
23,449,0
23,1667,0
23,1477,0
23,131,0
23,2033,0
23,3741,0
23,3708,0
24,453,0
24,3085,0
24,305,0
24,2509,0
24,989,0
24,492,0
24,2539,0
24,1626,0
24,937,0
24,45,0
25,2673,0
25,2174,0
25,2654,0
25,865,0
25,139,0
25,1467,0
25,3586,0
25,1419,0
25,3455,0
25,850,0
26,793,0
26,178,0
26,672,0
26,1042,0
26,2420,0
26,3151,0
26,3166,0
26,2431,0
26,460,0
26,3471,0
27,3387,0
27,1518,0
27,3045,0
27,2012,0
27,2470,0
27,1734,0
27,1964,0
27,581,0
27,3391,0
27,185,0
28,3770,0
28,2677,0
28,3763,0
28,1499,0
28,2562,0
28,3649,0
28,1834,0
28,315,0
28,335,0
28,3078,0
29,3169,0
29,2315,0
29,3480,0
29,3307,0
29,2151,0
29,2405,0
29,341,0
29,1009,0
29,2464,0
29,2263,0
30,3690,0
30,1148,0
30,3584,0
30,778,0
30,2188,0
30,754,0
30,1624,0
30,428,0
30,1717,0
30,3822,0
31,2777,0
31,110,0
31,2026,0
31,2462,0
31,2782,0
31,2661,0
31,2791,0
31,323,0
31,830,0
31,3418,0
32,3206,0
32,1156,0
32,3513,0
32,3026,0
32,1402,0
32,2779,0
32,496,0
32,114,0
32,1206,0
32,2136,0
33,1149,0
33,1915,0
33,3280,0
33,3021,0
33,1608,0
33,2497,0
33,2145,0
33,3803,0
33,910,0
33,210,0
34,2386,0
34,3313,0
34,2662,0
34,1151,0
34,691,0
34,3486,0
34,3388,0
34,3818,0
34,1122,0
34,3641,0
